Sample V (Adsorption),,,,,,,,,Sample V (Desorption),,,,,,,,,Sample C (Adsorption),,,,,,,,,Sample C (Desorption),,,,,,,
Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,
Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa)
0,1.50E-07,0.0009,,,,,,,0,1.50E-07,0.0011,0,0,0.062955066,0.02032374,0.035856746,,0,1.50E-07,0.0006,,,,,,,0,1.50E-07,0.0008,0.000320513,2.18E-05,0.065713229,0.028988877,0.027061394
0,1.50E-07,0.0009,0,0.20571463,0.054085764,0.020342212,0.027067162,,0,1.50E-07,0.0011,4.55E-13,0,0.062614936,0.020247631,0.035618095,,0,1.50E-07,0.0006,7.90E-05,3.08E-05,0.054301073,0.025747848,0.019970609,,0,1.50E-07,0.0008,0.000283572,0,0.065282881,0.028913641,0.026731359
0,1.50E-07,0.0009,0,6.86E-05,0.054783753,0.020533189,0.027406167,,0,1.50E-07,0.0011,0.708525559,0.28371716,0.062380505,0.020308844,0.035919261,,0,1.50E-07,0.0007,4.55E-13,,0.054943323,,,,0,1.50E-07,0.0008,0,0.212891387,0.064420453,0.028252224,0.026917178
0,1.50E-07,0.0009,0.637286858,0,0.055405161,0.020622073,0.028282798,,0,1.50E-07,0.0011,4.55E-13,3.38E-05,0.06152237,0.020227749,0.034552037,,0,1.50E-07,0.0007,0,0,0.055214639,0.026180694,0.020307047,,0,1.50E-07,0.0008,0.57232394,0.24925283,0.064608524,0.028045553,0.027942509
0,1.50E-07,0.0009,4.55E-13,6.59E-05,0.054948124,0.020585844,0.027500332,,0,1.50E-07,0.0011,0.000162893,3.45E-05,0.061583576,0.020311933,0.034500998,,0,1.50E-07,0.0007,0.545635153,,0.055442046,,,,0,1.50E-07,0.0008,0,0.37394194,0.064019946,0.028079451,0.027087716
0,1.50E-07,0.001,0.000289454,0,0.055310682,0.020708105,0.027699876,,0,1.50E-07,0.0011,0.000159601,2.27E-13,0.061020286,0.020126145,0.034185426,,0,1.50E-07,0.0007,0,,0.055171841,,,,0,1.50E-07,0.0008,8.46E-05,0.47196871,0.063819218,0.027966304,0.027330416
0,1.50E-07,0.001,0.000276836,2.27732575,0.05529175,0.025322949,0.033788321,,0,1.50E-07,0.0011,0.000129947,2.27E-13,0.060567122,0.020042951,0.033843187,,0,1.50E-07,0.0007,0,0,0.05485339,0.026004966,0.020180102,,0,1.50E-07,0.0008,0,0.228359272,0.063396885,0.027739071,0.026600352
0,1.50E-07,0.001,1.934062053,1.19726797,0.058640091,0.021947125,0.035710201,,0,1.50E-07,0.0011,0.000156302,0.276145144,0.05899367,0.020311814,0.032112872,,0,1.50E-07,0.0007,0,,0.054514666,,,,0,1.50E-07,0.0008,0,0.228201362,0.062490122,0.027470356,0.026051098
0,1.50E-07,0.001,0.000685547,3.39E-05,0.054785606,0.020488451,0.027467671,,0,1.50E-07,0.001,0,4.22E-05,0.057050488,0.0205506,0.029649687,,0,1.50E-07,0.0007,0.421398651,,0.056248816,,,,0,1.50E-07,0.0007,8.44E-05,0.21365403,0.055753302,0.0264425,0.020660871
0,1.50E-07,0.001,0.800059055,0.267277205,0.055328875,0.020497264,0.028820655,,0,1.50E-07,0.001,4.55E-13,6.59E-05,0.055333379,0.020730177,0.027693143,,0,1.50E-07,0.0007,0,3.57E-05,0.054542408,0.025807685,0.020132161,,0,1.50E-07,0.0007,0,,0.056183188,,
